tablo,tetikleyici,tanim
agency_invitations,on_agency_invitation_insert_notify,CREATE TRIGGER on_agency_invitation_insert_notify BEFORE INSERT ON public.agency_invitations FOR EACH ROW EXECUTE FUNCTION on_agency_invitation_insert_notify()
agency_invitations,on_agency_invitation_status_change,CREATE TRIGGER on_agency_invitation_status_change BEFORE UPDATE ON public.agency_invitations FOR EACH ROW EXECUTE FUNCTION on_agency_invitation_accepted_add_member()
agency_members,on_agency_member_insert_notify,CREATE TRIGGER on_agency_member_insert_notify AFTER INSERT ON public.agency_members FOR EACH ROW EXECUTE FUNCTION on_agency_member_insert_notify_agency()
agency_members,on_agency_member_insert_validate_roles,CREATE TRIGGER on_agency_member_insert_validate_roles BEFORE INSERT OR UPDATE ON public.agency_members FOR EACH ROW EXECUTE FUNCTION validate_agency_membership_roles()
agency_members,trg_remove_assignments_on_leave,CREATE TRIGGER trg_remove_assignments_on_leave AFTER DELETE ON public.agency_members FOR EACH ROW EXECUTE FUNCTION fn_remove_assignments_on_leave()
applications,applications_set_updated_at,CREATE TRIGGER applications_set_updated_at BEFORE UPDATE ON public.applications FOR EACH ROW EXECUTE FUNCTION update_updated_at_column()
applications,on_application_insert_notify_owner,CREATE TRIGGER on_application_insert_notify_owner AFTER INSERT ON public.applications FOR EACH ROW EXECUTE FUNCTION on_application_insert_notify_owner()
applications,on_application_status_change_notify_applicant,CREATE TRIGGER on_application_status_change_notify_applicant BEFORE UPDATE ON public.applications FOR EACH ROW EXECUTE FUNCTION on_application_status_change_notify_applicant()
blog_posts,trg_blog_posts_updated_at,CREATE TRIGGER trg_blog_posts_updated_at BEFORE UPDATE ON public.blog_posts FOR EACH ROW EXECUTE FUNCTION set_blog_posts_updated_at()
business_invitations,on_business_invitation_insert_notify,CREATE TRIGGER on_business_invitation_insert_notify BEFORE INSERT ON public.business_invitations FOR EACH ROW EXECUTE FUNCTION on_business_invitation_insert_notify()
business_invitations,on_business_invitation_status_change,CREATE TRIGGER on_business_invitation_status_change BEFORE UPDATE ON public.business_invitations FOR EACH ROW EXECUTE FUNCTION on_business_invitation_accepted_add_member()
business_members,on_business_member_insert_notify,CREATE TRIGGER on_business_member_insert_notify AFTER INSERT ON public.business_members FOR EACH ROW EXECUTE FUNCTION on_business_member_insert_notify_business()
business_members,on_business_member_insert_validate_roles,CREATE TRIGGER on_business_member_insert_validate_roles BEFORE INSERT OR UPDATE ON public.business_members FOR EACH ROW EXECUTE FUNCTION validate_business_membership_roles()
conversation_assignees,trg_assignee_added,CREATE TRIGGER trg_assignee_added AFTER INSERT ON public.conversation_assignees FOR EACH ROW EXECUTE FUNCTION fn_assignee_added_message()
conversation_assignees,trg_assignee_removed,CREATE TRIGGER trg_assignee_removed AFTER DELETE ON public.conversation_assignees FOR EACH ROW EXECUTE FUNCTION fn_assignee_removed_message()
listings,listings_set_updated_at,CREATE TRIGGER listings_set_updated_at BEFORE UPDATE ON public.listings FOR EACH ROW EXECUTE FUNCTION update_updated_at_column()
listings,on_listing_publish_set_metadata,CREATE TRIGGER on_listing_publish_set_metadata BEFORE INSERT OR UPDATE ON public.listings FOR EACH ROW EXECUTE FUNCTION set_listing_published_at()
messages,on_message_insert_notify,CREATE TRIGGER on_message_insert_notify AFTER INSERT ON public.messages FOR EACH ROW EXECUTE FUNCTION notify_new_message()
messages,on_message_insert_update_conversation,CREATE TRIGGER on_message_insert_update_conversation AFTER INSERT ON public.messages FOR EACH ROW EXECUTE FUNCTION update_conversation_last_message_at()
profile_experiences,update_profile_experiences_updated_at,CREATE TRIGGER update_profile_experiences_updated_at BEFORE UPDATE ON public.profile_experiences FOR EACH ROW EXECUTE FUNCTION update_updated_at_column()
profiles,on_profiles_updated,CREATE TRIGGER on_profiles_updated BEFORE UPDATE ON public.profiles FOR EACH ROW EXECUTE FUNCTION handle_updated_at()
profiles,protect_profile_fields,CREATE TRIGGER protect_profile_fields BEFORE UPDATE ON public.profiles FOR EACH ROW EXECUTE FUNCTION protect_sensitive_profile_fields()
profiles,update_profiles_updated_at,CREATE TRIGGER update_profiles_updated_at BEFORE UPDATE ON public.profiles FOR EACH ROW EXECUTE FUNCTION update_updated_at_column()
quotes,on_quote_insert_notify_customer,CREATE TRIGGER on_quote_insert_notify_customer AFTER INSERT ON public.quotes FOR EACH ROW EXECUTE FUNCTION on_quote_insert_notify_customer()
quotes,on_quote_responded_notify_professional,CREATE TRIGGER on_quote_responded_notify_professional AFTER UPDATE ON public.quotes FOR EACH ROW EXECUTE FUNCTION on_quote_responded_notify_professional()
quotes,on_quote_status_change_create_booking,CREATE TRIGGER on_quote_status_change_create_booking BEFORE UPDATE ON public.quotes FOR EACH ROW EXECUTE FUNCTION on_quote_accepted_create_booking()
quotes,on_quote_status_change_post_system_message,CREATE TRIGGER on_quote_status_change_post_system_message AFTER UPDATE ON public.quotes FOR EACH ROW EXECUTE FUNCTION on_quote_status_change_post_system_message()
review_replies,on_review_reply_insert_notify,CREATE TRIGGER on_review_reply_insert_notify AFTER INSERT ON public.review_replies FOR EACH ROW EXECUTE FUNCTION notify_review_reply()
review_replies,trg_review_replies_updated_at,CREATE TRIGGER trg_review_replies_updated_at BEFORE UPDATE ON public.review_replies FOR EACH ROW EXECUTE FUNCTION touch_review_updated_at()
reviews,on_review_insert_notify,CREATE TRIGGER on_review_insert_notify AFTER INSERT ON public.reviews FOR EACH ROW EXECUTE FUNCTION notify_new_review()
reviews,trg_reviews_updated_at,CREATE TRIGGER trg_reviews_updated_at BEFORE UPDATE ON public.reviews FOR EACH ROW EXECUTE FUNCTION touch_review_updated_at()
